,date_time_slot,power_mw
1249,14/04/2023      00:15 - 00:30,43.5
1250,14/04/2023      00:30 - 00:45,39.17
1251,14/04/2023      00:45 - 01:00,34.17
1252,14/04/2023      01:00 - 01:15,29.89
1253,14/04/2023      01:15 - 01:30,20.7
1254,14/04/2023      01:30 - 01:45,17.73
1255,14/04/2023      01:45 - 02:00,16.96
1256,14/04/2023      02:00 - 02:15,17.31
1257,14/04/2023      02:15 - 02:30,20.84
1258,14/04/2023      02:30 - 02:45,23.92
1259,14/04/2023      02:45 - 03:00,26.78
1260,14/04/2023      03:00 - 03:15,30.44
1261,14/04/2023      03:15 - 03:30,29.99
1262,14/04/2023      03:30 - 03:45,27.91
1263,14/04/2023      03:45 - 04:00,27.69
1264,14/04/2023      04:00 - 04:15,26.52
1265,14/04/2023      04:15 - 04:30,24.08
1266,14/04/2023      04:30 - 04:45,23.51
1267,14/04/2023      04:45 - 05:00,22.38
1268,14/04/2023      05:00 - 05:15,20.01
1269,14/04/2023      05:15 - 05:30,19.05
1270,14/04/2023      05:30 - 05:45,17.18
1271,14/04/2023      05:45 - 06:00,16.68
1272,14/04/2023      06:00 - 06:15,15.64
1273,14/04/2023      06:15 - 06:30,15.78
1274,14/04/2023      06:30 - 06:45,14.78
1275,14/04/2023      06:45 - 07:00,13.71
1276,14/04/2023      07:00 - 07:15,12.78
1277,14/04/2023      07:15 - 07:30,11.25
1278,14/04/2023      07:30 - 07:45,12.46
1279,14/04/2023      07:45 - 08:00,16.41
1280,14/04/2023      08:00 - 08:15,16.65
1281,14/04/2023      08:15 - 08:30,13.83
1282,14/04/2023      08:30 - 08:45,13.44
1283,14/04/2023      08:45 - 09:00,12.79
1284,14/04/2023      09:00 - 09:15,11.66
1285,14/04/2023      09:15 - 09:30,13.02
1286,14/04/2023      09:30 - 09:45,11.86
1287,14/04/2023      09:45 - 10:00,13.55
1288,14/04/2023      10:00 - 10:15,16.4
1289,14/04/2023      10:15 - 10:30,15.86
1290,14/04/2023      10:30 - 10:45,13.97
1291,14/04/2023      10:45 - 11:00,13.1
1292,14/04/2023      11:00 - 11:15,12.86
1293,14/04/2023      11:15 - 11:30,11.7
1294,14/04/2023      11:30 - 11:45,9.63
1295,14/04/2023      11:45 - 12:00,10.49
1296,14/04/2023      12:00 - 12:15,10.97
1297,14/04/2023      12:15 - 12:30,11.97
1298,14/04/2023      12:30 - 12:45,12.26
1299,14/04/2023      12:45 - 13:00,9.77
1300,14/04/2023      13:00 - 13:15,10.29
1301,14/04/2023      13:15 - 13:30,11.82
1302,14/04/2023      13:30 - 13:45,11.5
1303,14/04/2023      13:45 - 14:00,12.0
1304,14/04/2023      14:00 - 14:15,9.95
1305,14/04/2023      14:15 - 14:30,13.75
1306,14/04/2023      14:30 - 14:45,9.59
1307,14/04/2023      14:45 - 15:00,10.0
1308,14/04/2023      15:00 - 15:15,9.04
1309,14/04/2023      15:15 - 15:30,7.25
1310,14/04/2023      15:30 - 15:45,8.52
1311,14/04/2023      15:45 - 16:00,10.45
1312,14/04/2023      16:00 - 16:15,13.14
1313,14/04/2023      16:15 - 16:30,11.93
1314,14/04/2023      16:30 - 16:45,12.28
1315,14/04/2023      16:45 - 17:00,12.14
1316,14/04/2023      17:00 - 17:15,12.99
1317,14/04/2023      17:15 - 17:30,13.73
1318,14/04/2023      17:30 - 17:45,11.61
1319,14/04/2023      17:45 - 18:00,12.15
1320,14/04/2023      18:00 - 18:15,15.01
1321,14/04/2023      18:15 - 18:30,19.08
1322,14/04/2023      18:30 - 18:45,25.19
1323,14/04/2023      18:45 - 19:00,30.02
1324,14/04/2023      19:00 - 19:15,34.53
1325,14/04/2023      19:15 - 19:30,35.59
1326,14/04/2023      19:30 - 19:45,35.67
1327,14/04/2023      19:45 - 20:00,37.18
1328,14/04/2023      20:00 - 20:15,35.18
1329,14/04/2023      20:15 - 20:30,30.93
1330,14/04/2023      20:30 - 20:45,28.77
1331,14/04/2023      20:45 - 21:00,28.67
1332,14/04/2023      21:00 - 21:15,30.57
1333,14/04/2023      21:15 - 21:30,31.17
1334,14/04/2023      21:30 - 21:45,26.22
1335,14/04/2023      21:45 - 22:00,28.27
1336,14/04/2023      22:00 - 22:15,25.5
1337,14/04/2023      22:15 - 22:30,24.78
1338,14/04/2023      22:30 - 22:45,21.37
1339,14/04/2023      22:45 - 23:00,16.28
1340,14/04/2023      23:00 - 23:15,13.11
1341,14/04/2023      23:15 - 23:30,12.19
1342,14/04/2023      23:30 - 23:45,11.11
1343,14/04/2023      23:45 - 24:00,9.44
1344,15/04/2023      00:00 - 00:15,5.66
1345,15/04/2023      00:15 - 00:30,2.33
1346,15/04/2023      00:30 - 00:45,0.92
1347,15/04/2023      00:45 - 01:00,1.51
1348,15/04/2023      01:00 - 01:15,1.39
1349,15/04/2023      01:15 - 01:30,2.3
1350,15/04/2023      01:30 - 01:45,1.49
1351,15/04/2023      01:45 - 02:00,0.92
1352,15/04/2023      02:00 - 02:15,0.25
1353,15/04/2023      02:15 - 02:30,0.13
1354,15/04/2023      02:30 - 02:45,0.18
1355,15/04/2023      02:45 - 03:00,0.21
1356,15/04/2023      03:00 - 03:15,1.16
